File: series_4
Data points: 999
Detected representative subsequence: 3

Representative subsequence 1: position=[118,139]
Representative subsequence 2: position=[196,221]
Representative subsequence 3: position=[810,830]

==== ClaSP Scores ====
Timestep, Score
100, 0.677456
120, 0.744840
140, 0.722815
160, 0.686850
180, 0.685756
200, 0.663335
220, 0.650627
240, 0.630478
260, 0.615551
280, 0.597756
300, 0.610865
320, 0.606256
340, 0.586341
360, 0.584275
380, 0.592992
400, 0.618327
420, 0.634213
440, 0.649535
460, 0.670813
480, 0.687245
500, 0.696702
520, 0.706319
540, 0.698022
560, 0.691261
580, 0.684368
600, 0.682291
620, 0.679363
640, 0.694062
660, 0.708481
680, 0.725133
700, 0.727554
720, 0.705069
740, 0.696386
760, 0.701537
780, 0.739348
800, 0.744762
820, 0.721690
840, 0.682939
860, 0.595885
