File: series_1
Data points: 1258
Detected representative subsequence: 3

Representative subsequence 1: position=[120,140]
Representative subsequence 2: position=[156,177]
Representative subsequence 3: position=[247,353]

==== ClaSP Scores ====
Timestep, Score
100, 0.635708
120, 0.685948
140, 0.698077
160, 0.687090
180, 0.685304
200, 0.729998
220, 0.763914
240, 0.796779
260, 0.819583
280, 0.814573
300, 0.814342
320, 0.811271
340, 0.796661
360, 0.780039
380, 0.782663
400, 0.763119
420, 0.734167
440, 0.717186
460, 0.704962
480, 0.688930
500, 0.674591
520, 0.664909
540, 0.685655
560, 0.664225
580, 0.623517
600, 0.617898
620, 0.611337
640, 0.612901
660, 0.623794
680, 0.629935
700, 0.630953
720, 0.637754
740, 0.652436
760, 0.661724
780, 0.671423
800, 0.674974
820, 0.674613
840, 0.685007
860, 0.693119
880, 0.697569
900, 0.695532
920, 0.704823
940, 0.717861
960, 0.731777
980, 0.747367
1000, 0.745354
1020, 0.729904
1040, 0.736522
1060, 0.761564
1080, 0.775081
1100, 0.741577
1120, 0.640637
