Index,Dataset,Representative_Subsequence_Positions,DetectTime
1,QATS-4,"[80,120]",0.2012
2,QATS-4,,0.0507
3,QATS-4,"[100,120],[205,225],[238,258]",0.1995
4,QATS-4,"[107,127],[128,148],[165,191],[300,320]",0.2312
5,QATS-4,"[100,127]",0.1164
6,QATS-4,"[105,126]",0.1208
7,QATS-4,"[87,128]",0.1156
8,QATS-4,"[100,120],[174,194],[204,224]",0.1999
9,QATS-4,"[100,120],[170,190],[327,347]",0.1974
10,QATS-4,"[101,126],[137,159],[207,239]",0.2685
11,QATS-4,"[100,120],[172,192],[204,225]",0.1944
12,QATS-4,"[100,120]",0.0874
13,QATS-4,"[100,122],[137,158],[166,187],[237,257],[595,615]",0.3154
14,QATS-4,"[105,126]",0.1651
15,QATS-4,,0.0521
16,QATS-4,"[107,127],[128,148],[165,191],[300,320]",0.2339
17,QATS-4,,0.0491
18,QATS-4,"[130,163],[167,187],[236,256]",0.2656
19,QATS-4,,0.0504
20,QATS-4,"[100,122],[237,257]",0.1634
21,QATS-4,"[85,126],[600,640]",0.2057
22,QATS-4,"[100,120]",0.0944
23,QATS-4,"[148,173],[423,443]",0.2009
24,QATS-4,,0.0516
25,QATS-4,"[100,126],[137,159],[238,271]",0.1884
26,QATS-4,"[100,120],[133,165],[168,188],[315,351],[365,385],[519,558],[560,580],[607,647]",0.378
27,QATS-4,"[80,144],[151,191],[217,257]",0.3815
28,QATS-4,"[143,163],[167,189],[217,257],[936,1024]",0.3988
29,QATS-4,,0.0524
30,QATS-4,,0.0521
31,QATS-4,"[100,122],[237,257],[440,460],[473,513]",0.2798
32,QATS-4,"[133,165],[168,188],[287,307],[360,400],[455,475],[494,514]",0.316
33,QATS-4,"[100,120]",0.0926
34,QATS-4,"[107,127],[128,148],[165,191],[300,320]",0.3014
35,QATS-4,"[100,120],[152,192],[204,224],[348,388]",0.2471
36,QATS-4,"[100,120]",0.0969
37,QATS-4,"[143,163],[167,189]",0.1692
38,QATS-4,"[80,121]",0.1197
39,QATS-4,,0.0529
40,QATS-4,"[100,120],[133,154],[321,341],[346,366],[399,425],[506,526],[749,769],[806,885]",0.3755
41,QATS-4,"[105,126]",0.1205
42,QATS-4,"[100,120],[205,225],[238,258]",0.2757
43,QATS-4,"[88,128],[129,149],[165,190],[472,622]",0.2753
44,QATS-4,"[100,120]",0.0913
45,QATS-4,"[100,120]",0.1677
46,QATS-4,"[100,120]",0.099
47,QATS-4,"[100,122],[138,158],[237,257],[507,527]",0.2788
48,QATS-4,"[80,120]",0.1674
49,QATS-4,"[100,122],[218,257],[357,377],[680,768]",0.401
50,QATS-4,"[156,176],[207,227],[235,255]",0.1927
51,QATS-4,"[133,165],[168,188],[326,385],[496,516],[749,769],[807,827]",0.376
52,QATS-4,"[101,126],[137,159],[207,239]",0.1936
53,QATS-4,"[107,128],[217,257]",0.2652
54,QATS-4,"[133,173]",0.1242
55,QATS-4,"[105,126]",0.1214
56,QATS-4,"[100,122],[138,158],[353,379],[425,446],[452,483],[576,603],[756,785]",0.3683
57,QATS-4,"[100,128],[217,257]",0.2786
58,QATS-4,"[100,120]",0.0986
59,QATS-4,"[89,189],[199,239],[583,650]",0.2418
60,QATS-4,,0.0502
61,QATS-4,"[100,120]",0.087
62,QATS-4,"[80,121]",0.1213
63,QATS-4,"[80,120],[197,225],[603,643]",0.2399
64,QATS-4,"[100,126],[137,159],[238,271],[443,475]",0.2768
65,QATS-4,"[101,122]",0.0849
66,QATS-4,"[100,120]",0.1578
67,QATS-4,"[100,122],[138,158],[353,373]",0.1949
68,QATS-4,"[100,122],[299,336],[354,388],[393,413],[451,471],[494,514]",0.3777
69,QATS-4,"[101,126],[138,159],[219,261]",0.1906
70,QATS-4,"[100,120]",0.0886
71,QATS-4,"[100,120],[133,165],[167,187],[314,334]",0.2817
72,QATS-4,"[156,176],[235,255]",0.156
73,QATS-4,,0.0499
74,QATS-4,"[100,120],[152,192],[204,224],[348,388]",0.3122
75,QATS-4,"[101,126],[138,159],[214,261],[512,532],[601,641]",0.3752
76,QATS-4,"[87,128]",0.1169
77,QATS-4,,0.0527
78,QATS-4,"[156,176],[383,423],[440,480],[494,514],[555,575],[648,668]",0.3869
79,QATS-4,,0.0524
80,QATS-4,"[101,122]",0.0868
81,QATS-4,,0.0538
82,QATS-4,"[87,127]",0.1235
83,QATS-4,"[85,148]",0.2408
84,QATS-4,"[100,120]",0.0895
85,QATS-4,"[80,120]",0.125
86,QATS-4,"[100,120],[133,154]",0.1622
87,QATS-4,"[80,120],[152,192],[204,224],[380,400],[591,631]",0.3318
88,QATS-4,"[100,128],[217,257]",0.2116
89,QATS-4,"[130,163],[167,189],[459,479]",0.3008
90,QATS-4,"[143,165],[167,189],[219,256],[716,736],[764,784]",0.4726
91,QATS-4,"[80,120],[152,192],[204,225],[389,409]",0.2825
92,QATS-4,"[100,122],[138,158],[353,379],[426,446],[452,472],[494,521],[668,690],[708,739],[755,781]",0.3731
93,QATS-4,"[105,126],[130,150],[570,590]",0.2474
94,QATS-4,"[101,122]",0.0881
95,QATS-4,"[100,120]",0.0953
96,QATS-4,"[106,126]",0.1233
97,QATS-4,"[133,165],[168,188],[326,385],[496,516],[778,798]",0.472
98,QATS-4,"[80,120],[172,192],[204,225],[363,383]",0.3358
99,QATS-4,"[80,120],[205,225],[238,258]",0.2504
100,QATS-4,"[80,120],[170,190]",0.2138
101,QATS-4,"[103,123],[252,275],[686,748],[756,796]",0.3441
102,QATS-4,"[100,120],[130,150],[192,284],[411,451],[481,521],[525,662],[663,703],[738,778],[788,828],[830,870],[934,974],[1001,1095],[1110,1150]",0.4569
103,QATS-4,"[163,183],[194,214],[224,264],[342,382],[492,532]",0.3992
104,QATS-4,"[102,122],[147,189]",0.2029
105,QATS-4,,0.0537
106,QATS-4,,0.0506
107,QATS-4,,0.0546
108,QATS-4,"[102,122]",0.0947
109,QATS-4,"[102,128],[178,206],[226,259],[295,315],[471,511],[719,788]",0.3663
110,QATS-4,"[101,123],[230,270],[281,321],[344,452],[467,507],[547,587],[594,634],[661,771]",0.3913
111,QATS-4,"[100,146],[188,276]",0.2031
112,QATS-4,,0.1289
113,QATS-4,"[100,120]",0.0941
114,QATS-4,"[167,187],[220,282],[318,540]",0.2426
115,QATS-4,"[101,141],[229,335],[347,457],[458,534]",0.2881
116,QATS-4,"[85,125],[131,222],[228,268],[306,346],[444,505],[519,616],[620,681],[749,812]",0.3844
117,QATS-4,"[100,120],[195,215],[444,532]",0.2324
118,QATS-4,"[106,126],[189,209],[233,273],[295,335],[443,483],[489,532]",0.3233
119,QATS-4,"[100,129],[245,265]",0.2824
120,QATS-4,"[129,149],[238,258]",0.1626
