File: series_244
Data points: 10240
Detected representative subsequence: 24

Representative subsequence 1: position=[100,120]
Representative subsequence 2: position=[845,865]
Representative subsequence 3: position=[962,1002]
Representative subsequence 4: position=[2265,2297]
Representative subsequence 5: position=[2491,2561]
Representative subsequence 6: position=[3052,3201]
Representative subsequence 7: position=[3211,3273]
Representative subsequence 8: position=[3307,3347]
Representative subsequence 9: position=[5071,5140]
Representative subsequence 10: position=[5379,5442]
Representative subsequence 11: position=[5443,5561]
Representative subsequence 12: position=[5562,5634]
Representative subsequence 13: position=[5637,5677]
Representative subsequence 14: position=[5691,5800]
Representative subsequence 15: position=[5812,6061]
Representative subsequence 16: position=[6088,6151]
Representative subsequence 17: position=[6171,6259]
Representative subsequence 18: position=[6270,6382]
Representative subsequence 19: position=[6397,6530]
Representative subsequence 20: position=[6600,6663]
Representative subsequence 21: position=[6693,6767]
Representative subsequence 22: position=[8133,8359]
Representative subsequence 23: position=[9447,9515]
Representative subsequence 24: position=[9520,9629]

==== ClaSP Scores ====
Timestep, Score
100, 0.649883
120, 0.648518
140, 0.647440
160, 0.646543
180, 0.645768
200, 0.645079
220, 0.644453
240, 0.643875
260, 0.643332
280, 0.642818
300, 0.642327
320, 0.641854
340, 0.641396
360, 0.640951
380, 0.640516
400, 0.640090
420, 0.639671
440, 0.639259
460, 0.638852
480, 0.638449
500, 0.638051
520, 0.637656
540, 0.637264
560, 0.636875
580, 0.636488
600, 0.636103
620, 0.635720
640, 0.635339
660, 0.634958
680, 0.634579
700, 0.634200
720, 0.633823
740, 0.633446
760, 0.633070
780, 0.632694
800, 0.632319
820, 0.631943
840, 0.631569
860, 0.631194
880, 0.630800
900, 0.630300
920, 0.629910
940, 0.629522
960, 0.629133
980, 0.628784
1000, 0.684631
1020, 0.686996
1040, 0.689347
1060, 0.691685
1080, 0.693958
1100, 0.695444
1120, 0.695491
1140, 0.697183
1160, 0.699444
1180, 0.701692
1200, 0.703928
1220, 0.706152
1240, 0.709192
1260, 0.712171
1280, 0.714343
1300, 0.716505
1320, 0.718655
1340, 0.720793
1360, 0.722921
1380, 0.725037
1400, 0.727142
1420, 0.729237
1440, 0.731320
1460, 0.733393
1480, 0.735456
1500, 0.737508
1520, 0.739551
1540, 0.741583
1560, 0.743605
1580, 0.745617
1600, 0.747619
1620, 0.749555
1640, 0.751325
1660, 0.753393
1680, 0.755550
1700, 0.757500
1720, 0.759442
1740, 0.761375
1760, 0.763298
1780, 0.765213
1800, 0.767120
1820, 0.769017
1840, 0.770907
1860, 0.772788
1880, 0.774660
1900, 0.776524
1920, 0.778381
1940, 0.780229
1960, 0.782069
1980, 0.783902
2000, 0.785727
2020, 0.787544
2040, 0.789353
2060, 0.791155
