Index,Dataset,Representative_Subsequence_Positions,DetectTime
1,TSQA,"[110,132],[169,191],[198,259],[263,337],[363,406],[423,489],[512,615],[647,687],[707,893],[919,1209],[1236,1357]",10.7966
2,TSQA,"[100,120],[146,243],[273,350],[364,438],[439,519],[537,577],[644,1259],[1285,1325],[1329,1615],[1622,1729],[1816,1878],[1895,1935],[1966,2050],[2053,2113],[2229,2392]",1.3235
3,TSQA,"[100,120],[144,183],[196,379],[431,520],[539,579],[610,673],[684,801],[824,864],[890,999],[1041,1116],[1134,1174],[1198,1390]",0.9944
4,TSQA,"[81,258],[298,364],[365,423],[511,620],[731,871],[878,1003],[1017,1081],[1099,1247],[1274,1409],[1435,1541],[1566,1634],[1638,1678]",0.636
5,TSQA,"[115,135],[168,189],[225,469],[507,576],[584,624],[637,806],[890,930]",0.3936
6,TSQA,"[138,187],[192,212],[403,571],[626,1002],[1016,1056],[1061,1101],[1113,1222],[1254,1350],[1354,1434],[1466,1623],[1642,1725],[1744,1784],[1789,2193],[2202,2310],[2354,2454],[2476,2516],[2521,2632],[2639,2679]",1.2997
7,TSQA,"[80,120],[128,148],[304,324],[329,351],[1130,1170]",1.1481
8,TSQA,"[138,187],[192,212],[420,517],[529,574],[616,721],[1079,1119],[1134,1179],[1206,1428],[1444,1484],[1951,1991],[2038,2127],[2135,2318]",0.9413
9,TSQA,"[92,203],[227,343],[364,404],[423,745],[751,791],[810,850],[858,964],[967,1032],[1033,1102],[1195,1352],[1356,1418]",0.5632
10,TSQA,"[116,147],[176,196],[221,337],[364,404],[429,469],[476,537],[541,859],[860,957],[964,1044],[1092,1132]",0.4385
11,TSQA,"[117,251],[283,323],[326,406],[413,598],[607,685],[705,772],[785,825],[868,961],[993,1033],[1037,1098],[1132,1172],[1259,1416],[1420,1460]",0.6512
12,TSQA,"[138,187],[192,212],[446,530],[703,744],[985,1159],[1160,1248],[1258,1362],[1365,1405],[1407,1469],[1471,1554],[1560,1621],[1624,1753],[1772,1812],[1821,1919]",0.7532
13,TSQA,"[138,187],[192,212],[339,439],[442,513],[529,649],[687,799],[818,887],[912,952],[954,1030],[1070,1181],[1196,1280],[1308,1493],[1499,1539],[1556,1617],[1630,1750],[1758,1833],[1841,1925],[1932,2052],[2068,2175],[2178,2273]",1.0537
14,TSQA,"[100,120],[255,313],[537,708],[715,835],[844,1062]",0.47
15,TSQA,"[94,139],[256,642],[1707,1747],[1831,1896],[1906,1999],[2009,2069],[2104,2183],[2188,2228],[2250,2290]",0.9467
16,TSQA,"[138,187],[192,212],[357,397],[488,528],[580,642],[703,756],[854,894],[984,1058],[1060,1100],[1107,1217],[1222,1296],[1316,1356],[1386,1426],[1431,1559],[1568,1608],[1624,1685],[1731,1793],[1794,1856]",0.8028
17,TSQA,"[100,120],[255,298],[411,451],[469,509],[529,600],[618,658],[677,913],[914,1021],[1041,1081],[1097,1158],[1200,1410],[1428,1468],[1470,1993],[2024,2137],[2152,2192],[2204,2296],[2313,2353]",1.0226
18,TSQA,"[111,223],[249,407],[411,521],[557,653],[669,739],[812,852],[871,1042],[1051,1187],[1191,1449],[1466,1628],[1651,1711],[1741,1916],[1973,2042],[2051,2268],[2328,2368]",0.9974
19,TSQA,"[80,147],[173,293],[313,372],[378,475],[476,516],[596,636],[641,681],[684,945],[948,1045],[1072,1421],[1427,1519],[1537,1577],[1580,1670],[1687,1754],[1763,1843],[1876,1916],[1943,2078]",0.9254
20,TSQA,"[100,120],[254,299],[400,465],[537,577],[603,643],[659,916],[918,1021],[1038,1167],[1176,1216],[1219,1259],[1277,1317],[1329,1389],[1401,1502],[1591,1631],[1634,1674],[1699,1739],[1752,1851],[1864,1904],[1906,1993]",0.7741
21,TSQA,"[100,235],[250,307],[314,411],[412,452],[537,604],[626,666],[667,763],[773,835],[838,947],[951,1109],[1127,1294],[1321,1557],[1570,1674]",0.7353
22,TSQA,"[97,138],[143,185],[217,257],[283,505],[512,628],[644,849],[875,936],[942,1285],[1288,1328],[1349,1469],[1493,1533],[1560,1653],[1658,1808],[1825,1885]",0.7526
