File: series_13
Data points: 1344
Detected representative subsequence: 5

Representative subsequence 1: position=[100,120]
Representative subsequence 2: position=[255,313]
Representative subsequence 3: position=[537,708]
Representative subsequence 4: position=[715,835]
Representative subsequence 5: position=[844,1062]

==== ClaSP Scores ====
Timestep, Score
100, 0.696548
120, 0.664048
140, 0.639116
160, 0.635611
180, 0.685596
200, 0.751797
220, 0.810047
240, 0.857416
260, 0.889235
280, 0.897001
300, 0.872903
320, 0.846394
340, 0.823808
360, 0.793187
380, 0.776799
400, 0.781108
420, 0.792204
440, 0.801396
460, 0.816159
480, 0.838440
500, 0.855977
520, 0.871816
540, 0.894085
560, 0.898566
580, 0.875871
600, 0.857204
620, 0.847164
640, 0.848529
660, 0.851324
680, 0.845587
700, 0.845013
720, 0.837072
740, 0.834900
760, 0.826605
780, 0.836706
800, 0.847909
820, 0.853550
840, 0.843455
860, 0.842862
880, 0.848445
900, 0.840909
920, 0.830216
940, 0.826707
960, 0.822247
980, 0.813885
1000, 0.811631
1020, 0.818342
1040, 0.811375
1060, 0.804732
1080, 0.800367
1100, 0.770451
1120, 0.787710
1140, 0.786536
1160, 0.728547
1180, 0.704644
1200, 0.688703
