File: series_6
Data points: 999
Detected representative subsequence: 3

Representative subsequence 1: position=[120,147]
Representative subsequence 2: position=[200,240]
Representative subsequence 3: position=[281,309]

==== ClaSP Scores ====
Timestep, Score
100, 0.644609
120, 0.779363
140, 0.777696
160, 0.800770
180, 0.803484
200, 0.842579
220, 0.855802
240, 0.824886
260, 0.809785
280, 0.801233
300, 0.770458
320, 0.746748
340, 0.751297
360, 0.724792
380, 0.712337
400, 0.718136
420, 0.714932
440, 0.713039
460, 0.685443
480, 0.670212
500, 0.669423
520, 0.681033
540, 0.705118
560, 0.698119
580, 0.673971
600, 0.670161
620, 0.689288
640, 0.698359
660, 0.743434
680, 0.761243
700, 0.743497
720, 0.678119
740, 0.654154
760, 0.628233
780, 0.625407
800, 0.621377
820, 0.654620
840, 0.605268
860, 0.570601
