File: series_3
Data points: 45216
Detected representative subsequence: 23

Representative subsequence 1: position=[101,121]
Representative subsequence 2: position=[187,213]
Representative subsequence 3: position=[275,304]
Representative subsequence 4: position=[650,684]
Representative subsequence 5: position=[723,744]
Representative subsequence 6: position=[882,902]
Representative subsequence 7: position=[951,1000]
Representative subsequence 8: position=[1052,1074]
Representative subsequence 9: position=[1362,1409]
Representative subsequence 10: position=[1623,1651]
Representative subsequence 11: position=[1759,1802]
Representative subsequence 12: position=[1864,1884]
Representative subsequence 13: position=[2195,2215]
Representative subsequence 14: position=[2217,2237]
Representative subsequence 15: position=[3100,3120]
Representative subsequence 16: position=[5880,5940]
Representative subsequence 17: position=[9642,9667]
Representative subsequence 18: position=[10145,10165]
Representative subsequence 19: position=[14870,14906]
Representative subsequence 20: position=[15930,15950]
Representative subsequence 21: position=[16049,16085]
Representative subsequence 22: position=[16229,16249]
Representative subsequence 23: position=[23862,23900]

==== ClaSP Scores ====
Timestep, Score
100, 0.668642
120, 0.667184
140, 0.666442
160, 0.665832
180, 0.665338
200, 0.664944
220, 0.664650
240, 0.674372
260, 0.673371
280, 0.672341
300, 0.671619
320, 0.670849
340, 0.670246
360, 0.669576
380, 0.669064
400, 0.668533
420, 0.668142
440, 0.667569
460, 0.667128
480, 0.666778
500, 0.667635
520, 0.667175
540, 0.666887
560, 0.666600
580, 0.666287
600, 0.667960
620, 0.667526
640, 0.667064
660, 0.666794
680, 0.666485
700, 0.666259
720, 0.666843
740, 0.668910
760, 0.670012
780, 0.671153
800, 0.672149
820, 0.676274
840, 0.675798
860, 0.675996
880, 0.676262
900, 0.679457
920, 0.681746
940, 0.680960
960, 0.681037
980, 0.681656
1000, 0.681040
1020, 0.680905
1040, 0.680452
1060, 0.680052
1080, 0.681048
1100, 0.679878
1120, 0.679428
1140, 0.681698
1160, 0.682532
1180, 0.684662
1200, 0.684373
1220, 0.686812
1240, 0.692720
1260, 0.694050
1280, 0.694637
1300, 0.694901
1320, 0.698713
1340, 0.698829
1360, 0.700454
1380, 0.702556
1400, 0.702209
1420, 0.701474
1440, 0.700893
1460, 0.700270
1480, 0.700039
1500, 0.699462
1520, 0.699536
1540, 0.701417
1560, 0.701488
1580, 0.701556
1600, 0.701266
1620, 0.701751
1640, 0.701167
1660, 0.700618
1680, 0.700319
1700, 0.699548
1720, 0.699358
1740, 0.700290
1760, 0.701906
1780, 0.701305
1800, 0.700739
1820, 0.700738
1840, 0.700117
1860, 0.700066
1880, 0.700234
1900, 0.699565
1920, 0.699083
1940, 0.698245
1960, 0.701737
1980, 0.702701
2000, 0.702142
2020, 0.702065
2040, 0.701885
2060, 0.701912
2080, 0.701370
2100, 0.701217
2120, 0.702313
2140, 0.702303
2160, 0.702196
2180, 0.702007
2200, 0.701943
2220, 0.701542
2240, 0.700955
2260, 0.700425
2280, 0.699973
2300, 0.699546
2320, 0.699214
2340, 0.698924
2360, 0.698435
2380, 0.698209
2400, 0.697859
2420, 0.698392
2440, 0.698168
2460, 0.697678
2480, 0.697405
2500, 0.697047
2520, 0.697901
