TTFT,InputTokens,OutputTokens,Cost,TotalTime
4.785108328,624,84,0.000792,33.53408527
2.722962856,713,85,0.000883,31.02286482
5.248103857,802,85,0.000972,42.98044181
3.295996904,534,67,0.000668,26.92896318
2.708870888,623,63,0.000749,24.29805017
2.447896242,707,62,0.000831,23.35998511
2.489001989,860,74,0.001008,26.28928614
2.603347063,994,70,0.001134,25.81133699
2.810644865,1162,73,0.001308,26.70510983
3.053174019,1297,73,0.001443,27.39081001
2.817925215,1353,121,0.001595,24.45556521
5.395543814,1532,76,0.001684,28.53690004
3.174160242,1509,73,0.001655,26.61965632
4.591073036,1572,76,0.001724,18.77121806
4.844003201,1618,76,0.00177,19.14574599
2.540254116,1569,121,0.001811,31.46546483
3.690328836,1602,121,0.001844,32.767663
4.769168854,1699,76,0.001851,21.37287664
2.725800037,2104,76,0.002256,22.62162733
17.39608192,2658,134,0.003126,91.05883074
2.939737797,2658,124,0.004306,291.1083367
3.223723173,2655,103,0.003061,61.55379105
2.400570869,2662,120,0.004302,252.9272299
5.610840082,2662,120,0.004302,271.1708391
2.480775118,2406,111,0.004028,266.6294432
5.853950262,2642,118,0.003078,71.21030712
4.589632988,2664,84,0.002832,24.41683507
2.506263018,2664,85,0.002834,22.77667403
7.488236189,2453,86,0.002625,27.78426194
4.524618387,2709,77,0.002863,23.72692323
