Index,Task,Dataset,Method,InputTokens,OutputTokens,Cost,TotalTime,ResponseFile,LogTime
1,REASONING,ChatTS,Window,547,27,0.000601,2.3658390045166016,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/ChatTS/predict-ChatTS/predict_response.log,2025/9/15 3:51
2,REASONING,ChatTS,Window,547,26,0.0005989999999999,2.3498129844665527,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/ChatTS/predict-ChatTS/predict_response.log,2025/9/15 3:51
3,REASONING,ChatTS,Window,547,29,0.000605,2.280901908874512,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/ChatTS/predict-ChatTS/predict_response.log,2025/9/15 3:51
4,REASONING,ChatTS,Window,547,29,0.000605,2.530690908432007,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/ChatTS/predict-ChatTS/predict_response.log,2025/9/15 3:51
5,REASONING,ChatTS,Window,547,27,0.000601,2.2154018878936768,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/ChatTS/predict-ChatTS/predict_response.log,2025/9/15 3:51
6,REASONING,ChatTS,Window (+v),547,27,0.000601,2.1595940589904785,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/ChatTS/predict-ChatTS/predict_response.log,2025/9/15 3:51
7,REASONING,ChatTS,Window (+v),547,27,0.000601,8.282340049743652,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/ChatTS/predict-ChatTS/predict_response.log,2025/9/15 3:51
8,REASONING,ChatTS,Window (+v),547,29,0.000605,7.210160970687866,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/ChatTS/predict-ChatTS/predict_response.log,2025/9/15 3:51
9,REASONING,ChatTS,Window (+v),547,27,0.000601,7.201620101928711,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/ChatTS/predict-ChatTS/predict_response.log,2025/9/15 3:51
10,REASONING,ChatTS,Window (+v),547,26,0.0005989999999999,8.05739688873291,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/ChatTS/predict-ChatTS/predict_response.log,2025/9/15 3:52
11,REASONING,ChatTS,Inf-LLM,553,27,0.000607,2.3508141040802,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/ChatTS/predict-ChatTS/predict_response.log,2025/9/15 3:52
12,REASONING,ChatTS,Inf-LLM,553,27,0.000607,2.1683390140533447,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/ChatTS/predict-ChatTS/predict_response.log,2025/9/15 3:52
13,REASONING,ChatTS,Inf-LLM,553,29,0.000611,2.283437728881836,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/ChatTS/predict-ChatTS/predict_response.log,2025/9/15 3:52
14,REASONING,ChatTS,Inf-LLM,553,27,0.000607,2.388757944107056,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/ChatTS/predict-ChatTS/predict_response.log,2025/9/15 3:52
15,REASONING,ChatTS,Inf-LLM,553,27,0.000607,2.122352123260498,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/ChatTS/predict-ChatTS/predict_response.log,2025/9/15 3:52
16,REASONING,ChatTS,Inf-LLM (+v),553,27,0.000607,2.347590923309326,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/ChatTS/predict-ChatTS/predict_response.log,2025/9/15 3:52
17,REASONING,ChatTS,Inf-LLM (+v),553,27,0.000607,7.838628053665161,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/ChatTS/predict-ChatTS/predict_response.log,2025/9/15 3:52
18,REASONING,ChatTS,Inf-LLM (+v),553,29,0.000611,6.250379085540772,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/ChatTS/predict-ChatTS/predict_response.log,2025/9/15 3:52
19,REASONING,ChatTS,Inf-LLM (+v),553,29,0.000611,6.899965047836304,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/ChatTS/predict-ChatTS/predict_response.log,2025/9/15 3:52
20,REASONING,ChatTS,Inf-LLM (+v),553,26,0.000605,6.285299062728882,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/ChatTS/predict-ChatTS/predict_response.log,2025/9/15 3:52
21,REASONING,ChatTS,InfTS-LLM,976,67,0.0011099999999999,3.271646976470948,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/ChatTS/predict-ChatTS/predict_response.log,2025/9/15 3:52
22,REASONING,ChatTS,InfTS-LLM,976,66,0.001108,3.820550203323364,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/ChatTS/predict-ChatTS/predict_response.log,2025/9/15 3:52
23,REASONING,ChatTS,InfTS-LLM,976,50,0.001076,2.8103368282318115,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/ChatTS/predict-ChatTS/predict_response.log,2025/9/15 3:52
24,REASONING,ChatTS,InfTS-LLM,976,65,0.001106,3.395148038864136,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/ChatTS/predict-ChatTS/predict_response.log,2025/9/15 3:52
25,REASONING,ChatTS,InfTS-LLM,976,64,0.001104,3.47681212425232,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/ChatTS/predict-ChatTS/predict_response.log,2025/9/15 3:53
26,REASONING,ChatTS,InfTS-LLM (+v),976,65,0.001106,3.4251787662506104,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/ChatTS/predict-ChatTS/predict_response.log,2025/9/15 3:53
27,REASONING,ChatTS,InfTS-LLM (+v),976,49,0.0010739999999999,8.369606733322144,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/ChatTS/predict-ChatTS/predict_response.log,2025/9/15 3:53
28,REASONING,ChatTS,InfTS-LLM (+v),976,49,0.0010739999999999,5.809020042419434,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/ChatTS/predict-ChatTS/predict_response.log,2025/9/15 3:53
29,REASONING,ChatTS,InfTS-LLM (+v),976,51,0.001078,8.298892974853516,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/ChatTS/predict-ChatTS/predict_response.log,2025/9/15 3:53
30,REASONING,ChatTS,InfTS-LLM (+v),976,49,0.0010739999999999,8.518851041793823,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/ChatTS/predict-ChatTS/predict_response.log,2025/9/15 3:53
31,UNDERSTANDING,TSQA,Window,2016,28,0.002072,3.0411598682403564,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/TSQA/predict-TSQA/predict_response.log,2025/9/15 3:57
32,UNDERSTANDING,TSQA,Window (+v),2016,28,0.002072,8.784132957458496,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/TSQA/predict-TSQA/predict_response.log,2025/9/15 3:57
