Method,LLMs,Type,Trend,Season,Volatility,Outlier,Induct.,Deduct.,Causal,MCQ2,Overall1,Overall2,Tokens,Cost
Window,GPT-4o-0806,Text,0.298,0.458,0.129,0.352,0.367,0.299,0.356,0.314,0.309,0.334,10881,0.013
Window,GPT-4o-0806,Vision,0.382,0.599,0.331,0.455,0.429,0.446,0.338,0.389,0.442,0.401,13348,0.027
Window,Gemini-3-Pro,Text,0.453,0.592,0.184,0.545,0.515,0.251,0.367,0.534,0.444,0.417,11028,0.014
Window,Gemini-3-Pro,Vision,0.551,0.676,0.471,0.584,0.503,0.505,0.327,0.556,0.571,0.473,13106,0.030
Window,ChatTS-14B,TS,0.495,0.645,0.501,0.529,0.540,0.706,0.718,0.600,0.543,0.641,11818,0.005
Inf-LLM,GPT-4o-0806,Text,0.437,0.574,0.182,0.581,0.343,0.634,0.467,0.659,0.444,0.526,12005,0.012
Inf-LLM,GPT-4o-0806,Vision,0.592,0.678,0.649,0.641,0.482,0.697,0.523,0.565,0.64,0.567,14031,0.025
Inf-LLM,Gemini-3-Pro,Text,0.451,0.689,0.387,0.544,0.491,0.651,0.534,0.541,0.518,0.554,9842,0.011
Inf-LLM,Gemini-3-Pro,Vision,0.614,0.703,0.488,0.684,0.539,0.669,0.594,0.589,0.622,0.598,11963,0.024
Inf-LLM,ChatTS-14B,TS,0.511,0.668,0.515,0.552,0.568,0.717,0.726,0.611,0.562,0.656,9721,0.003
InfTS-LLM,GPT-4o-0806,Text,0.621,0.674,0.554,0.743,0.585,0.738,0.829,0.692,0.648,0.711,5353,0.002
InfTS-LLM,GPT-4o-0806,Vision,0.689,0.773,0.578,0.791,0.554,0.746,0.792,0.613,0.708,0.676,7343,0.016
InfTS-LLM,Gemini-3-Pro,Text,0.639,0.707,0.576,0.757,0.623,0.795,0.788,0.624,0.670,0.708,6731,0.002
InfTS-LLM,Gemini-3-Pro,Vision,0.686,0.792,0.665,0.764,0.611,0.765,0.763,0.684,0.727,0.706,8564,0.012
InfTS-LLM,ChatTS-14B,TS,0.753,0.848,0.704,0.785,0.629,0.781,0.820,0.674,0.773,0.726,4978,0.001
